Região,Sigla UF,UF,Código IBGE Município,Município,Tipo Crime,Mês,Mês/Ano,PC-Qtde Ocorrências
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Estupro,1,01/2015,2.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Estupro,2,02/2015,2.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Estupro,3,03/2015,6.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Estupro,4,04/2015,4.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Estupro,5,05/2015,3.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Estupro,6,06/2015,6.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Estupro,7,07/2015,1.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Estupro,8,08/2015,4.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Estupro,9,09/2015,2.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Estupro,10,10/2015,3.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Estupro,11,11/2015,3.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Estupro,12,12/2015,2.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Furto de veículo,1,01/2015,129.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Furto de veículo,2,02/2015,101.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Furto de veículo,3,03/2015,120.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Furto de veículo,4,04/2015,135.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Furto de veículo,5,05/2015,107.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Furto de veículo,6,06/2015,104.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Furto de veículo,7,07/2015,117.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Furto de veículo,8,08/2015,112.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Furto de veículo,9,09/2015,87.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Furto de veículo,10,10/2015,114.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Furto de veículo,11,11/2015,123.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Furto de veículo,12,12/2015,107.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Homicídio doloso,1,01/2015,3.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Homicídio doloso,2,02/2015,3.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Homicídio doloso,3,03/2015,2.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Homicídio doloso,4,04/2015,6.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Homicídio doloso,5,05/2015,3.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Homicídio doloso,6,06/2015,2.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Homicídio doloso,8,08/2015,1.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Homicídio doloso,9,09/2015,2.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Homicídio doloso,10,10/2015,1.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Roubo de veículo,1,01/2015,36.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Roubo de veículo,2,02/2015,41.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Roubo de veículo,3,03/2015,38.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Roubo de veículo,4,04/2015,23.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Roubo de veículo,5,05/2015,31.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Roubo de veículo,6,06/2015,19.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Roubo de veículo,7,07/2015,15.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Roubo de veículo,8,08/2015,18.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Roubo de veículo,9,09/2015,23.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Roubo de veículo,10,10/2015,27.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Roubo de veículo,11,11/2015,15.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Roubo de veículo,12,12/2015,17.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Roubo seguido de morte (latrocínio),12,12/2015,1.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Estupro,1,01/2015,4.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Estupro,2,02/2015,1.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Estupro,3,03/2015,6.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Estupro,4,04/2015,5.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Estupro,5,05/2015,7.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Estupro,6,06/2015,6.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Estupro,7,07/2015,3.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Estupro,8,08/2015,3.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Estupro,9,09/2015,1.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Estupro,10,10/2015,1.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Estupro,11,11/2015,5.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Estupro,12,12/2015,4.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Furto de veículo,1,01/2015,29.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Furto de veículo,2,02/2015,30.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Furto de veículo,3,03/2015,32.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Furto de veículo,4,04/2015,18.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Furto de veículo,5,05/2015,36.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Furto de veículo,6,06/2015,23.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Furto de veículo,7,07/2015,20.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Furto de veículo,8,08/2015,24.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Furto de veículo,9,09/2015,12.0
