Região,Sigla UF,UF,Código IBGE Município,Município,Tipo Crime,Mês,Mês/Ano,PC-Qtde Ocorrências
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Estupro,1,01/2013,4.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Estupro,2,02/2013,5.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Estupro,3,03/2013,1.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Estupro,4,04/2013,6.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Estupro,5,05/2013,4.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Estupro,6,06/2013,4.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Estupro,7,07/2013,2.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Estupro,8,08/2013,1.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Estupro,9,09/2013,5.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Estupro,10,10/2013,1.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Estupro,11,11/2013,9.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Estupro,12,12/2013,4.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Furto de veículo,1,01/2013,160.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Furto de veículo,2,02/2013,112.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Furto de veículo,3,03/2013,115.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Furto de veículo,4,04/2013,113.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Furto de veículo,5,05/2013,109.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Furto de veículo,6,06/2013,88.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Furto de veículo,8,08/2013,112.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Furto de veículo,9,09/2013,119.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Furto de veículo,10,10/2013,126.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Furto de veículo,11,11/2013,118.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Furto de veículo,12,12/2013,149.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Homicídio doloso,1,01/2013,2.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Homicídio doloso,3,03/2013,3.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Homicídio doloso,4,04/2013,1.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Homicídio doloso,5,05/2013,1.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Homicídio doloso,6,06/2013,2.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Homicídio doloso,8,08/2013,1.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Homicídio doloso,9,09/2013,2.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Homicídio doloso,10,10/2013,1.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Homicídio doloso,11,11/2013,3.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Homicídio doloso,12,12/2013,4.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Roubo de veículo,1,01/2013,40.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Roubo de veículo,2,02/2013,31.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Roubo de veículo,3,03/2013,18.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Roubo de veículo,4,04/2013,14.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Roubo de veículo,5,05/2013,19.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Roubo de veículo,6,06/2013,21.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Roubo de veículo,7,07/2013,15.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Roubo de veículo,8,08/2013,23.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Roubo de veículo,9,09/2013,19.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Roubo de veículo,10,10/2013,21.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Roubo de veículo,11,11/2013,34.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Roubo de veículo,12,12/2013,46.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Roubo seguido de morte (latrocínio),3,03/2013,1.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Roubo seguido de morte (latrocínio),12,12/2013,2.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Estupro,1,01/2013,2.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Estupro,2,02/2013,3.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Estupro,3,03/2013,5.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Estupro,4,04/2013,7.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Estupro,5,05/2013,6.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Estupro,6,06/2013,2.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Estupro,7,07/2013,7.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Estupro,8,08/2013,8.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Estupro,9,09/2013,5.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Estupro,10,10/2013,4.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Estupro,11,11/2013,5.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Estupro,12,12/2013,1.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Furto de veículo,1,01/2013,28.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Furto de veículo,2,02/2013,32.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Furto de veículo,3,03/2013,32.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Furto de veículo,4,04/2013,29.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Furto de veículo,5,05/2013,21.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Furto de veículo,6,06/2013,30.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Furto de veículo,8,08/2013,23.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Furto de veículo,9,09/2013,20.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Furto de veículo,10,10/2013,26.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Furto de veículo,11,11/2013,43.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Furto de veículo,12,12/2013,28.0
