Região,Sigla UF,UF,Código IBGE Município,Município,Tipo Crime,Mês,Mês/Ano,PC-Qtde Ocorrências
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Estupro,1,01/2014,4.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Estupro,2,02/2014,3.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Estupro,3,03/2014,5.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Estupro,4,04/2014,5.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Estupro,5,05/2014,8.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Estupro,6,06/2014,1.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Estupro,7,07/2014,3.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Estupro,8,08/2014,4.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Estupro,9,09/2014,3.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Estupro,10,10/2014,4.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Estupro,11,11/2014,2.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Estupro,12,12/2014,3.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Furto de veículo,1,01/2014,154.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Furto de veículo,2,02/2014,120.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Furto de veículo,3,03/2014,112.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Furto de veículo,4,04/2014,129.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Furto de veículo,5,05/2014,122.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Furto de veículo,6,06/2014,96.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Furto de veículo,7,07/2014,141.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Furto de veículo,8,08/2014,119.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Furto de veículo,9,09/2014,130.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Furto de veículo,10,10/2014,152.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Furto de veículo,11,11/2014,119.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Furto de veículo,12,12/2014,106.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Homicídio doloso,1,01/2014,2.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Homicídio doloso,2,02/2014,1.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Homicídio doloso,3,03/2014,2.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Homicídio doloso,6,06/2014,2.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Homicídio doloso,7,07/2014,2.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Homicídio doloso,8,08/2014,1.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Homicídio doloso,9,09/2014,5.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Homicídio doloso,10,10/2014,1.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Homicídio doloso,12,12/2014,1.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Roubo de veículo,1,01/2014,57.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Roubo de veículo,2,02/2014,55.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Roubo de veículo,3,03/2014,63.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Roubo de veículo,4,04/2014,42.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Roubo de veículo,5,05/2014,25.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Roubo de veículo,6,06/2014,17.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Roubo de veículo,7,07/2014,18.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Roubo de veículo,8,08/2014,34.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Roubo de veículo,9,09/2014,35.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Roubo de veículo,10,10/2014,28.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Roubo de veículo,11,11/2014,34.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Roubo de veículo,12,12/2014,23.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Roubo seguido de morte (latrocínio),1,01/2014,1.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Roubo seguido de morte (latrocínio),3,03/2014,2.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Roubo seguido de morte (latrocínio),5,05/2014,2.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Estupro,1,01/2014,6.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Estupro,2,02/2014,4.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Estupro,3,03/2014,5.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Estupro,4,04/2014,6.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Estupro,5,05/2014,1.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Estupro,6,06/2014,3.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Estupro,7,07/2014,3.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Estupro,8,08/2014,6.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Estupro,9,09/2014,6.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Estupro,10,10/2014,4.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Estupro,11,11/2014,3.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Estupro,12,12/2014,3.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Furto de veículo,1,01/2014,32.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Furto de veículo,2,02/2014,25.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Furto de veículo,3,03/2014,36.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Furto de veículo,4,04/2014,38.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Furto de veículo,5,05/2014,45.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Furto de veículo,6,06/2014,35.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Furto de veículo,7,07/2014,17.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Furto de veículo,8,08/2014,32.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Furto de veículo,9,09/2014,48.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Furto de veículo,10,10/2014,33.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Furto de veículo,11,11/2014,28.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Furto de veículo,12,12/2014,33.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Homicídio doloso,1,01/2014,6.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Homicídio doloso,2,02/2014,1.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Homicídio doloso,3,03/2014,5.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Homicídio doloso,4,04/2014,3.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Homicídio doloso,5,05/2014,4.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Homicídio doloso,6,06/2014,7.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Homicídio doloso,7,07/2014,8.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Homicídio doloso,8,08/2014,6.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Homicídio doloso,9,09/2014,4.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Homicídio doloso,10,10/2014,3.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Homicídio doloso,11,11/2014,6.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Homicídio doloso,12,12/2014,2.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Roubo de veículo,1,01/2014,33.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Roubo de veículo,2,02/2014,31.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Roubo de veículo,3,03/2014,32.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Roubo de veículo,4,04/2014,27.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Roubo de veículo,5,05/2014,32.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Roubo de veículo,6,06/2014,16.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Roubo de veículo,7,07/2014,14.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Roubo de veículo,8,08/2014,29.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Roubo de veículo,9,09/2014,22.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Roubo de veículo,10,10/2014,22.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Roubo de veículo,11,11/2014,37.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Roubo de veículo,12,12/2014,24.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Roubo seguido de morte (latrocínio),3,03/2014,1.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Roubo seguido de morte (latrocínio),9,09/2014,1.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Roubo seguido de morte (latrocínio),12,12/2014,2.0
CENTRO-OESTE,DF,Distrito Federal,530010803,Taguatinga,Estupro,1,01/2014,3.0
CENTRO-OESTE,DF,Distrito Federal,530010803,Taguatinga,Estupro,2,02/2014,4.0
CENTRO-OESTE,DF,Distrito Federal,530010803,Taguatinga,Estupro,3,03/2014,10.0
CENTRO-OESTE,DF,Distrito Federal,530010803,Taguatinga,Estupro,4,04/2014,5.0
CENTRO-OESTE,DF,Distrito Federal,530010803,Taguatinga,Estupro,5,05/2014,8.0
CENTRO-OESTE,DF,Distrito Federal,530010803,Taguatinga,Estupro,6,06/2014,8.0
CENTRO-OESTE,DF,Distrito Federal,530010803,Taguatinga,Estupro,7,07/2014,1.0
CENTRO-OESTE,DF,Distrito Federal,530010803,Taguatinga,Estupro,8,08/2014,9.0
CENTRO-OESTE,DF,Distrito Federal,530010803,Taguatinga,Estupro,9,09/2014,3.0
CENTRO-OESTE,DF,Distrito Federal,530010803,Taguatinga,Estupro,10,10/2014,6.0
CENTRO-OESTE,DF,Distrito Federal,530010803,Taguatinga,Estupro,11,11/2014,6.0
CENTRO-OESTE,DF,Distrito Federal,530010803,Taguatinga,Estupro,12,12/2014,2.0
CENTRO-OESTE,DF,Distrito Federal,530010803,Taguatinga,Furto de veículo,1,01/2014,140.0
CENTRO-OESTE,DF,Distrito Federal,530010803,Taguatinga,Furto de veículo,2,02/2014,109.0
CENTRO-OESTE,DF,Distrito Federal,530010803,Taguatinga,Furto de veículo,3,03/2014,106.0
CENTRO-OESTE,DF,Distrito Federal,530010803,Taguatinga,Furto de veículo,4,04/2014,118.0
CENTRO-OESTE,DF,Distrito Federal,530010803,Taguatinga,Furto de veículo,5,05/2014,133.0
CENTRO-OESTE,DF,Distrito Federal,530010803,Taguatinga,Furto de veículo,6,06/2014,135.0
CENTRO-OESTE,DF,Distrito Federal,530010803,Taguatinga,Furto de veículo,7,07/2014,131.0
CENTRO-OESTE,DF,Distrito Federal,530010803,Taguatinga,Furto de veículo,8,08/2014,95.0
CENTRO-OESTE,DF,Distrito Federal,530010803,Taguatinga,Furto de veículo,9,09/2014,98.0
CENTRO-OESTE,DF,Distrito Federal,530010803,Taguatinga,Furto de veículo,10,10/2014,101.0
CENTRO-OESTE,DF,Distrito Federal,530010803,Taguatinga,Furto de veículo,11,11/2014,99.0
CENTRO-OESTE,DF,Distrito Federal,530010803,Taguatinga,Furto de veículo,12,12/2014,98.0
CENTRO-OESTE,DF,Distrito Federal,530010803,Taguatinga,Homicídio doloso,1,01/2014,2.0
CENTRO-OESTE,DF,Distrito Federal,530010803,Taguatinga,Homicídio doloso,2,02/2014,3.0
CENTRO-OESTE,DF,Distrito Federal,530010803,Taguatinga,Homicídio doloso,3,03/2014,4.0
CENTRO-OESTE,DF,Distrito Federal,530010803,Taguatinga,Homicídio doloso,4,04/2014,2.0
CENTRO-OESTE,DF,Distrito Federal,530010803,Taguatinga,Homicídio doloso,5,05/2014,3.0
CENTRO-OESTE,DF,Distrito Federal,530010803,Taguatinga,Homicídio doloso,6,06/2014,2.0
CENTRO-OESTE,DF,Distrito Federal,530010803,Taguatinga,Homicídio doloso,7,07/2014,2.0
CENTRO-OESTE,DF,Distrito Federal,530010803,Taguatinga,Homicídio doloso,8,08/2014,2.0
CENTRO-OESTE,DF,Distrito Federal,530010803,Taguatinga,Homicídio doloso,9,09/2014,5.0
CENTRO-OESTE,DF,Distrito Federal,530010803,Taguatinga,Homicídio doloso,10,10/2014,2.0
CENTRO-OESTE,DF,Distrito Federal,530010803,Taguatinga,Homicídio doloso,11,11/2014,2.0
CENTRO-OESTE,DF,Distrito Federal,530010803,Taguatinga,Homicídio doloso,12,12/2014,4.0
CENTRO-OESTE,DF,Distrito Federal,530010803,Taguatinga,Lesão corporal seguida de morte,4,04/2014,1.0
CENTRO-OESTE,DF,Distrito Federal,530010803,Taguatinga,Roubo de veículo,1,01/2014,175.0
CENTRO-OESTE,DF,Distrito Federal,530010803,Taguatinga,Roubo de veículo,2,02/2014,166.0
CENTRO-OESTE,DF,Distrito Federal,530010803,Taguatinga,Roubo de veículo,3,03/2014,142.0
CENTRO-OESTE,DF,Distrito Federal,530010803,Taguatinga,Roubo de veículo,4,04/2014,141.0
CENTRO-OESTE,DF,Distrito Federal,530010803,Taguatinga,Roubo de veículo,5,05/2014,113.0
CENTRO-OESTE,DF,Distrito Federal,530010803,Taguatinga,Roubo de veículo,6,06/2014,64.0
CENTRO-OESTE,DF,Distrito Federal,530010803,Taguatinga,Roubo de veículo,7,07/2014,59.0
CENTRO-OESTE,DF,Distrito Federal,530010803,Taguatinga,Roubo de veículo,8,08/2014,81.0
CENTRO-OESTE,DF,Distrito Federal,530010803,Taguatinga,Roubo de veículo,9,09/2014,110.0
CENTRO-OESTE,DF,Distrito Federal,530010803,Taguatinga,Roubo de veículo,10,10/2014,100.0
CENTRO-OESTE,DF,Distrito Federal,530010803,Taguatinga,Roubo de veículo,11,11/2014,99.0
CENTRO-OESTE,DF,Distrito Federal,530010803,Taguatinga,Roubo de veículo,12,12/2014,71.0
CENTRO-OESTE,DF,Distrito Federal,530010803,Taguatinga,Roubo seguido de morte (latrocínio),1,01/2014,1.0
CENTRO-OESTE,DF,Distrito Federal,530010803,Taguatinga,Roubo seguido de morte (latrocínio),3,03/2014,2.0
CENTRO-OESTE,DF,Distrito Federal,530010803,Taguatinga,Roubo seguido de morte (latrocínio),8,08/2014,1.0
CENTRO-OESTE,DF,Distrito Federal,530010803,Taguatinga,Roubo seguido de morte (latrocínio),9,09/2014,1.0
CENTRO-OESTE,DF,Distrito Federal,530010803,Taguatinga,Roubo seguido de morte (latrocínio),10,10/2014,2.0
CENTRO-OESTE,DF,Distrito Federal,530010803,Taguatinga,Roubo seguido de morte (latrocínio),11,11/2014,1.0
CENTRO-OESTE,DF,Distrito Federal,530010803,Taguatinga,Roubo seguido de morte (latrocínio),12,12/2014,1.0
CENTRO-OESTE,DF,Distrito Federal,530010804,Brazlândia,Estupro,1,01/2014,1.0
CENTRO-OESTE,DF,Distrito Federal,530010804,Brazlândia,Estupro,3,03/2014,3.0
CENTRO-OESTE,DF,Distrito Federal,530010804,Brazlândia,Estupro,4,04/2014,1.0
CENTRO-OESTE,DF,Distrito Federal,530010804,Brazlândia,Estupro,5,05/2014,2.0
CENTRO-OESTE,DF,Distrito Federal,530010804,Brazlândia,Estupro,6,06/2014,1.0
CENTRO-OESTE,DF,Distrito Federal,530010804,Brazlândia,Estupro,7,07/2014,1.0
CENTRO-OESTE,DF,Distrito Federal,530010804,Brazlândia,Estupro,8,08/2014,3.0
CENTRO-OESTE,DF,Distrito Federal,530010804,Brazlândia,Estupro,9,09/2014,1.0
CENTRO-OESTE,DF,Distrito Federal,530010804,Brazlândia,Estupro,10,10/2014,1.0
CENTRO-OESTE,DF,Distrito Federal,530010804,Brazlândia,Furto de veículo,1,01/2014,6.0
CENTRO-OESTE,DF,Distrito Federal,530010804,Brazlândia,Furto de veículo,2,02/2014,10.0
CENTRO-OESTE,DF,Distrito Federal,530010804,Brazlândia,Furto de veículo,3,03/2014,13.0
CENTRO-OESTE,DF,Distrito Federal,530010804,Brazlândia,Furto de veículo,4,04/2014,7.0
CENTRO-OESTE,DF,Distrito Federal,530010804,Brazlândia,Furto de veículo,5,05/2014,6.0
CENTRO-OESTE,DF,Distrito Federal,530010804,Brazlândia,Furto de veículo,6,06/2014,5.0
CENTRO-OESTE,DF,Distrito Federal,530010804,Brazlândia,Furto de veículo,7,07/2014,5.0
CENTRO-OESTE,DF,Distrito Federal,530010804,Brazlândia,Furto de veículo,8,08/2014,7.0
CENTRO-OESTE,DF,Distrito Federal,530010804,Brazlândia,Furto de veículo,9,09/2014,7.0
CENTRO-OESTE,DF,Distrito Federal,530010804,Brazlândia,Furto de veículo,10,10/2014,9.0
CENTRO-OESTE,DF,Distrito Federal,530010804,Brazlândia,Furto de veículo,11,11/2014,12.0
CENTRO-OESTE,DF,Distrito Federal,530010804,Brazlândia,Furto de veículo,12,12/2014,6.0
CENTRO-OESTE,DF,Distrito Federal,530010804,Brazlândia,Homicídio doloso,1,01/2014,1.0
CENTRO-OESTE,DF,Distrito Federal,530010804,Brazlândia,Homicídio doloso,2,02/2014,1.0
CENTRO-OESTE,DF,Distrito Federal,530010804,Brazlândia,Homicídio doloso,3,03/2014,2.0
CENTRO-OESTE,DF,Distrito Federal,530010804,Brazlândia,Homicídio doloso,4,04/2014,1.0
CENTRO-OESTE,DF,Distrito Federal,530010804,Brazlândia,Homicídio doloso,5,05/2014,1.0
CENTRO-OESTE,DF,Distrito Federal,530010804,Brazlândia,Homicídio doloso,6,06/2014,1.0
CENTRO-OESTE,DF,Distrito Federal,530010804,Brazlândia,Homicídio doloso,9,09/2014,1.0
CENTRO-OESTE,DF,Distrito Federal,530010804,Brazlândia,Homicídio doloso,11,11/2014,3.0
CENTRO-OESTE,DF,Distrito Federal,530010804,Brazlândia,Roubo de veículo,1,01/2014,13.0
