Região,Sigla UF,UF,Código IBGE Município,Município,Tipo Crime,Mês,Mês/Ano,PC-Qtde Ocorrências
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Estupro,1,01/2016,1.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Estupro,4,04/2016,8.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Estupro,5,05/2016,8.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Estupro,6,06/2016,2.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Estupro,7,07/2016,4.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Estupro,8,08/2016,6.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Estupro,9,09/2016,1.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Estupro,10,10/2016,2.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Estupro,11,11/2016,2.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Estupro,12,12/2016,4.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Furto de veículo,1,01/2016,120.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Furto de veículo,2,02/2016,129.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Furto de veículo,3,03/2016,129.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Furto de veículo,4,04/2016,154.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Furto de veículo,5,05/2016,156.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Furto de veículo,6,06/2016,119.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Furto de veículo,7,07/2016,122.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Furto de veículo,8,08/2016,133.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Furto de veículo,9,09/2016,150.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Furto de veículo,10,10/2016,136.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Furto de veículo,11,11/2016,136.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Furto de veículo,12,12/2016,106.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Homicídio doloso,1,01/2016,2.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Homicídio doloso,4,04/2016,2.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Homicídio doloso,5,05/2016,2.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Homicídio doloso,6,06/2016,1.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Homicídio doloso,8,08/2016,1.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Homicídio doloso,9,09/2016,1.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Homicídio doloso,10,10/2016,3.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Homicídio doloso,12,12/2016,1.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Lesão corporal seguida de morte,9,09/2016,1.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Roubo de veículo,1,01/2016,24.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Roubo de veículo,2,02/2016,20.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Roubo de veículo,3,03/2016,20.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Roubo de veículo,4,04/2016,21.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Roubo de veículo,5,05/2016,21.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Roubo de veículo,6,06/2016,19.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Roubo de veículo,7,07/2016,21.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Roubo de veículo,8,08/2016,16.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Roubo de veículo,9,09/2016,21.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Roubo de veículo,10,10/2016,31.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Roubo de veículo,11,11/2016,29.0
CENTRO-OESTE,DF,Distrito Federal,530010801,Brasília,Roubo de veículo,12,12/2016,38.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Estupro,1,01/2016,8.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Estupro,2,02/2016,2.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Estupro,3,03/2016,2.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Estupro,4,04/2016,1.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Estupro,5,05/2016,1.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Estupro,6,06/2016,3.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Estupro,7,07/2016,3.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Estupro,8,08/2016,4.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Estupro,9,09/2016,3.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Estupro,10,10/2016,1.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Estupro,11,11/2016,2.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Estupro,12,12/2016,2.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Furto de veículo,1,01/2016,32.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Furto de veículo,2,02/2016,26.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Furto de veículo,3,03/2016,26.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Furto de veículo,4,04/2016,45.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Furto de veículo,5,05/2016,45.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Furto de veículo,6,06/2016,42.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Furto de veículo,7,07/2016,28.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Furto de veículo,8,08/2016,36.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Furto de veículo,9,09/2016,44.0
CENTRO-OESTE,DF,Distrito Federal,530010802,Gama,Furto de veículo,10,10/2016,48.0
